s10100, 2592123, 2965046, 5170785, 5340483, 16739725, 8118242, 2082823, 793943, 10180772, 11241710, 7701278, 6262798, 19425418, 17851558, 3352360, 8569583, 38966728, 51705132, 5300473
s10200, 337017, 339945, 674034, 1324646, 8254136, 2373363, 1312015, 231687, 6440335, 5729168, 2119489, 3882692, 4179369, 4926354, 1438208, 4809111, 19530526, 30598934, 3378408
s10214, 7041826, 11484940, 14083652, 6675419, 2526104, 3850608, 128249, 258394, 649154, 1142201, 2420825, 473076, 2240619, 1732257, 685630, 927420, 5416984, 5469951, 329764
s10226, 8517732, 11203309, 17035464, 10157155, 11090311, 10364690, 694741, 752418, 3280575, 4872128, 7711866, 2240426, 22529078, 18709814, 2591340, 4260396, 34483432, 39883936, 1763920
s10240, 193188, 46052, 386377, 633259, 2202008, 1024557, 293538, 119880, 1441131, 1500190, 1161837, 852462, 2378523, 2168306, 330724, 1067898, 3728042, 5325546, 736457
s10300, 9754425, 13807139, 19276856, 11859334, 30269808, 16776997, 3007334, 1237588, 14529530, 18417904, 12496147, 9064279, 33144340, 30070628, 6341648, 15643221, 57279732, 78295856, 7670867
s10400, 1931861, 2228843, 3863722, 6895830, 23261878, 7510093, 2116727, 582168, 10424720, 13928691, 6554858, 6917650, 29999490, 29232240, 6289425, 11412443, 75253528, 111252008, 5382391
s10410, 44069, 27533, 88138, 105036, 171971, 159524, 6983, 6478, 36227, 28832, 77006, 31426, 463016, 463016, 23220, 65907, 837287, 837287, 17459
s10426, 10797677, 28947490, 21595354, 17945106, 5323747, 13137800, 266365, 739056, 1307880, 2516336, 7991799, 994375, 29367338, 16951092, 1609038, 2087170, 27881954, 32892716, 671898
s10500, 102862, 82393, 205725, 337803, 2422147, 420927, 240599, 28296, 1225938, 1585483, 391182, 834914, 1251963, 1649974, 762482, 1135367, 3918801, 6926374, 600856
s10600, 3803003, 3726888, 7584869, 4371148, 12906921, 5843117, 1793194, 405451, 8636924, 9086672, 4487752, 5093914, 7784511, 8291035, 2135635, 7495324, 20890068, 27186210, 4569388
s10609, 0, 0, 0, 12415, 145580, 9488, 11546, 4335, 51910, 51241, 42764, 45030, 137746, 137746, 41266, 41266, 135492, 141004, 28865
